af,ip_src,ip_dest,asn_src,asn_dest,timestamp,rtt_min
4,204.9.93.238,88.198.173.54,16409,24940,1602022899,86.223693
4,206.196.178.150,88.198.173.54,10886,24940,1602022933,93.396178
4,192.0.46.157,88.198.173.54,16876,24940,1602023115,87.986937
4,192.136.136.221,88.198.173.54,10745,24940,1602023131,86.710582
4,63.218.125.154,88.198.173.54,3491,24940,1602023135,91.915176
4,204.9.93.238,88.198.173.54,16409,24940,1602023126,86.445885
4,206.196.178.150,88.198.173.54,10886,24940,1602023170,93.641048
4,192.0.46.157,88.198.173.54,16876,24940,1602023350,87.992332
4,192.136.136.221,88.198.173.54,10745,24940,1602023372,86.83906
4,63.218.125.154,88.198.173.54,3491,24940,1602023371,91.974662
4,204.9.93.238,88.198.173.54,16409,24940,1602023371,86.461845
4,206.196.178.150,88.198.173.54,10886,24940,1602023404,93.627136
4,192.0.46.157,88.198.173.54,16876,24940,1602023595,87.911163
4,192.136.136.221,88.198.173.54,10745,24940,1602023608,86.782561
4,63.218.125.154,88.198.173.54,3491,24940,1602023619,92.04237
4,204.9.93.238,88.198.173.54,16409,24940,1602023614,86.533008
4,206.196.178.150,88.198.173.54,10886,24940,1602023648,93.534538
4,192.0.46.157,88.198.173.54,16876,24940,1602023829,87.962903
4,192.136.136.221,88.198.173.54,10745,24940,1602023841,86.690628
4,63.218.125.154,88.198.173.54,3491,24940,1602023860,91.90806
4,204.9.93.238,88.198.173.54,16409,24940,1602023851,86.447977
4,206.196.178.150,88.198.173.54,10886,24940,1602023885,93.639619
4,192.0.46.157,88.198.173.54,16876,24940,1602024069,87.912548
4,192.136.136.221,88.198.173.54,10745,24940,1602024085,86.795295
4,63.218.125.154,88.198.173.54,3491,24940,1602024091,91.98567
4,204.9.93.238,88.198.173.54,16409,24940,1602024093,86.499351
4,206.196.178.150,88.198.173.54,10886,24940,1602024127,93.493029
4,192.0.46.157,88.198.173.54,16876,24940,1602024306,87.612312
4,192.136.136.221,88.198.173.54,10745,24940,1602024333,87.014339
4,63.218.125.154,88.198.173.54,3491,24940,1602024336,91.936412
4,204.9.93.238,88.198.173.54,16409,24940,1602024340,86.423245
4,206.196.178.150,88.198.173.54,10886,24940,1602024372,93.496699
4,192.0.46.157,88.198.173.54,16876,24940,1602024549,87.497313
4,192.136.136.221,88.198.173.54,10745,24940,1602024569,86.787241
4,63.218.125.154,88.198.173.54,3491,24940,1602024569,91.970525
4,204.9.93.238,88.198.173.54,16409,24940,1602024568,86.485871
4,206.196.178.150,88.198.173.54,10886,24940,1602024616,93.563013
4,192.0.46.157,88.198.173.54,16876,24940,1602024795,87.356679
4,192.136.136.221,88.198.173.54,10745,24940,1602024813,86.731067
4,63.218.125.154,88.198.173.54,3491,24940,1602024811,91.879456
4,204.9.93.238,88.198.173.54,16409,24940,1602024820,86.397684
4,206.196.178.150,88.198.173.54,10886,24940,1602024842,93.494987
4,192.0.46.157,88.198.173.54,16876,24940,1602025026,87.326115
4,192.136.136.221,88.198.173.54,10745,24940,1602025047,86.855129
4,63.218.125.154,88.198.173.54,3491,24940,1602025054,91.980016
4,204.9.93.238,88.198.173.54,16409,24940,1602025058,86.286791
4,206.196.178.150,88.198.173.54,10886,24940,1602025094,93.390353
4,192.0.46.157,185.244.192.10,16876,197540,1602021616,89.691781
4,192.136.136.221,185.244.192.10,10745,197540,1602021658,88.292784
4,206.196.178.150,185.244.192.10,10886,197540,1602021637,94.034574
4,63.218.125.154,185.244.192.10,3491,197540,1602021642,88.570374
4,204.9.93.238,185.244.192.10,16409,197540,1602021636,87.611018
4,192.0.46.157,185.244.192.10,16876,197540,1602021855,89.824939
4,192.136.136.221,185.244.192.10,10745,197540,1602021898,88.423984
4,206.196.178.150,185.244.192.10,10886,197540,1602021874,94.065841
4,63.218.125.154,185.244.192.10,3491,197540,1602021872,88.602428
4,204.9.93.238,185.244.192.10,16409,197540,1602021878,87.772474
4,192.0.46.157,185.244.192.10,16876,197540,1602022104,89.893734
4,192.136.136.221,185.244.192.10,10745,197540,1602022135,88.357612
4,206.196.178.150,185.244.192.10,10886,197540,1602022127,93.701299
4,63.218.125.154,185.244.192.10,3491,197540,1602022124,88.624584
4,204.9.93.238,185.244.192.10,16409,197540,1602022111,87.765921
4,192.0.46.157,185.244.192.10,16876,197540,1602022334,89.880258
4,192.136.136.221,185.244.192.10,10745,197540,1602022369,
4,206.196.178.150,185.244.192.10,10886,197540,1602022355,93.810112
4,63.218.125.154,185.244.192.10,3491,197540,1602022352,89.49109
4,204.9.93.238,185.244.192.10,16409,197540,1602022355,87.625921
4,192.0.46.157,185.244.192.10,16876,197540,1602022585,89.896565
4,192.136.136.221,185.244.192.10,10745,197540,1602022613,87.078623
4,206.196.178.150,185.244.192.10,10886,197540,1602022602,93.572052
4,63.218.125.154,185.244.192.10,3491,197540,1602022596,89.37073
4,204.9.93.238,185.244.192.10,16409,197540,1602022594,87.203054
4,192.0.46.157,185.244.192.10,16876,197540,1602022825,90.021297
4,192.136.136.221,185.244.192.10,10745,197540,1602022853,88.284579
4,206.196.178.150,185.244.192.10,10886,197540,1602022843,93.958059
4,63.218.125.154,185.244.192.10,3491,197540,1602022835,89.45716
4,204.9.93.238,185.244.192.10,16409,197540,1602022838,87.765597
4,192.0.46.157,185.244.192.10,16876,197540,1602023053,89.910848
4,192.136.136.221,185.244.192.10,10745,197540,1602023094,88.238781
4,206.196.178.150,185.244.192.10,10886,197540,1602023074,93.754953
4,63.218.125.154,185.244.192.10,3491,197540,1602023082,89.526449
4,204.9.93.238,185.244.192.10,16409,197540,1602023073,87.72529
4,192.0.46.157,185.244.192.10,16876,197540,1602023305,90.019532
4,192.136.136.221,185.244.192.10,10745,197540,1602023333,88.338243
4,206.196.178.150,185.244.192.10,10886,197540,1602023317,93.581183
4,63.218.125.154,185.244.192.10,3491,197540,1602023321,89.482614
4,204.9.93.238,185.244.192.10,16409,197540,1602023322,87.689925
4,192.0.46.157,185.244.192.10,16876,197540,1602023532,89.948403
4,192.136.136.221,185.244.192.10,10745,197540,1602023566,88.23747
4,206.196.178.150,185.244.192.10,10886,197540,1602023555,93.758183
4,63.218.125.154,185.244.192.10,3491,197540,1602023563,89.459538
4,204.9.93.238,185.244.192.10,16409,197540,1602023554,87.606827
4,192.0.46.157,185.244.192.10,16876,197540,1602023781,90.026498
4,192.136.136.221,185.244.192.10,10745,197540,1602023809,88.184611
4,206.196.178.150,185.244.192.10,10886,197540,1602023799,93.621837
4,63.218.125.154,185.244.192.10,3491,197540,1602023799,89.448322
4,204.9.93.238,185.244.192.10,16409,197540,1602023804,87.672565
4,192.0.46.157,185.244.192.10,16876,197540,1602024024,89.932183
4,192.136.136.221,185.244.192.10,10745,197540,1602024056,88.273555
4,206.196.178.150,185.244.192.10,10886,197540,1602024042,93.738757
4,63.218.125.154,185.244.192.10,3491,197540,1602024043,89.49368
4,204.9.93.238,185.244.192.10,16409,197540,1602024034,87.572759
4,192.0.46.157,185.244.192.10,16876,197540,1602024253,90.011732
4,192.136.136.221,185.244.192.10,10745,197540,1602024290,88.543531
4,206.196.178.150,185.244.192.10,10886,197540,1602024288,95.968778
4,63.218.125.154,185.244.192.10,3491,197540,1602024276,89.480104
4,204.9.93.238,185.244.192.10,16409,197540,1602024278,87.618921
4,192.0.46.157,185.244.192.10,16876,197540,1602024506,92.980881
4,192.136.136.221,185.244.192.10,10745,197540,1602024534,88.329678
4,206.196.178.150,185.244.192.10,10886,197540,1602024527,94.035417
4,63.218.125.154,185.244.192.10,3491,197540,1602024524,89.485846
4,204.9.93.238,185.244.192.10,16409,197540,1602024515,87.660965
4,192.0.46.157,185.244.192.10,16876,197540,1602024739,92.899178
4,192.136.136.221,185.244.192.10,10745,197540,1602024770,88.247965
4,206.196.178.150,185.244.192.10,10886,197540,1602024760,93.679966
4,63.218.125.154,185.244.192.10,3491,197540,1602024764,89.329301
4,204.9.93.238,185.244.192.10,16409,197540,1602024750,87.563876
4,192.0.46.157,185.244.192.10,16876,197540,1602024980,92.899757
4,192.136.136.221,185.244.192.10,10745,197540,1602025004,88.537372
4,206.196.178.150,185.244.192.10,10886,197540,1602024996,93.648702
4,63.218.125.154,185.244.192.10,3491,197540,1602024999,89.45076
4,204.9.93.238,185.244.192.10,16409,197540,1602024998,87.585172
4,38.142.218.114,185.244.192.10,174,197540,1602021757,95.805185
4,100.36.177.74,185.244.192.10,701,197540,1602021809,95.99214
4,38.142.218.114,185.244.192.10,174,197540,1602021988,95.81006
4,100.36.177.74,185.244.192.10,701,197540,1602022038,96.043805
4,38.142.218.114,185.244.192.10,174,197540,1602022242,95.750095
4,100.36.177.74,185.244.192.10,701,197540,1602022284,95.96782
4,38.142.218.114,185.244.192.10,174,197540,1602022469,99.018885
