prb_id,address_v4,address_v6,asn_v4,asn_v6,msm_url
27312,,,3320,3320,https://atlas.ripe.net/api/v2/probes/27312/measurements/?format=json
27790,87.162.53.120,2003:cb:cf29:0:f6f2:6dff:fe5d:a5c8,3320,3320,https://atlas.ripe.net/api/v2/probes/27790/measurements/?format=json
27861,,,12835,,https://atlas.ripe.net/api/v2/probes/27861/measurements/?format=json
28415,,,,,https://atlas.ripe.net/api/v2/probes/28415/measurements/?format=json
28435,,,1267,,https://atlas.ripe.net/api/v2/probes/28435/measurements/?format=json
28698,62.91.49.42,,20686,,https://atlas.ripe.net/api/v2/probes/28698/measurements/?format=json
28741,195.30.94.27,2001:608:a01:4:f6f2:6dff:fe5d:cbd6,5539,5539,https://atlas.ripe.net/api/v2/probes/28741/measurements/?format=json
28895,188.192.147.42,2a02:810d:e80:4dca:a62b:b0ff:fedf:e9c6,3209,3209,https://atlas.ripe.net/api/v2/probes/28895/measurements/?format=json
28989,79.220.44.239,2003:cd:374c:bd00:a62b:b0ff:fedf:f510,3320,3320,https://atlas.ripe.net/api/v2/probes/28989/measurements/?format=json
29012,93.214.216.130,,3320,,https://atlas.ripe.net/api/v2/probes/29012/measurements/?format=json
29203,91.137.89.84,fd00::a62b:b0ff:fee0:bc8,198726,,https://atlas.ripe.net/api/v2/probes/29203/measurements/?format=json
29224,,2001:16b8:26d5:8e01:a62b:b0ff:fedf:ff54,,8881,https://atlas.ripe.net/api/v2/probes/29224/measurements/?format=json
29255,188.192.185.159,,31334,,https://atlas.ripe.net/api/v2/probes/29255/measurements/?format=json
29395,178.27.117.48,,3209,,https://atlas.ripe.net/api/v2/probes/29395/measurements/?format=json
29485,84.140.173.9,2003:cd:3f18:3700:ee08:6bff:fe73:2fc6,3320,3320,https://atlas.ripe.net/api/v2/probes/29485/measurements/?format=json
29607,93.227.157.119,2003:dc:df20:70ec:a62b:b0ff:fee0:18a,3320,3320,https://atlas.ripe.net/api/v2/probes/29607/measurements/?format=json
29639,80.138.203.2,2003:d8:8f22:df01:ee08:6bff:fe73:42f8,3320,3320,https://atlas.ripe.net/api/v2/probes/29639/measurements/?format=json
29653,,,3320,3320,https://atlas.ripe.net/api/v2/probes/29653/measurements/?format=json
29685,,,3320,,https://atlas.ripe.net/api/v2/probes/29685/measurements/?format=json
29795,92.117.254.159,2001:16b8:3f70:c100:ee08:6bff:fe73:41e2,8881,8881,https://atlas.ripe.net/api/v2/probes/29795/measurements/?format=json
29973,91.40.26.39,2003:cb:cf02:9800:ee08:6bff:fe73:4300,3320,3320,https://atlas.ripe.net/api/v2/probes/29973/measurements/?format=json
29994,87.162.62.114,2003:cb:cf0e:e400:ee08:6bff:fe73:2700,3320,3320,https://atlas.ripe.net/api/v2/probes/29994/measurements/?format=json
30496,5.157.101.211,,35612,,https://atlas.ripe.net/api/v2/probes/30496/measurements/?format=json
30644,87.162.50.192,,3320,,https://atlas.ripe.net/api/v2/probes/30644/measurements/?format=json
30755,185.220.100.129,2a0b:f4c0:e3:0:ee08:6bff:fe73:4262,205100,205100,https://atlas.ripe.net/api/v2/probes/30755/measurements/?format=json
30769,83.175.70.69,,31510,,https://atlas.ripe.net/api/v2/probes/30769/measurements/?format=json
30967,2.37.150.246,,30722,,https://atlas.ripe.net/api/v2/probes/30967/measurements/?format=json
30997,88.198.237.198,2a01:4f8:bc:101:a62b:b0ff:fee0:d14,24940,24940,https://atlas.ripe.net/api/v2/probes/30997/measurements/?format=json
31100,213.174.178.226,,21309,,https://atlas.ripe.net/api/v2/probes/31100/measurements/?format=json
31651,92.117.139.31,2001:16b8:3fa6:4f00:a62b:b0ff:fee0:65c,8881,8881,https://atlas.ripe.net/api/v2/probes/31651/measurements/?format=json
31652,,,34695,34695,https://atlas.ripe.net/api/v2/probes/31652/measurements/?format=json
31701,,,3209,3209,https://atlas.ripe.net/api/v2/probes/31701/measurements/?format=json
31738,193.238.136.3,2a04:2082::a62b:b0ff:fee0:954,34758,34758,https://atlas.ripe.net/api/v2/probes/31738/measurements/?format=json
31757,,,34695,,https://atlas.ripe.net/api/v2/probes/31757/measurements/?format=json
31882,,,8881,,https://atlas.ripe.net/api/v2/probes/31882/measurements/?format=json
31889,,,1267,,https://atlas.ripe.net/api/v2/probes/31889/measurements/?format=json
32118,,,49088,49088,https://atlas.ripe.net/api/v2/probes/32118/measurements/?format=json
32374,,2003:cc:a3f1:2e00:d66e:eff:fe23:2ca6,,3320,https://atlas.ripe.net/api/v2/probes/32374/measurements/?format=json
32559,,,3269,,https://atlas.ripe.net/api/v2/probes/32559/measurements/?format=json
32700,,,3320,3320,https://atlas.ripe.net/api/v2/probes/32700/measurements/?format=json
32721,,,3320,,https://atlas.ripe.net/api/v2/probes/32721/measurements/?format=json
32741,,,,,https://atlas.ripe.net/api/v2/probes/32741/measurements/?format=json
32770,188.174.53.238,2001:a61:3b06:9b01:1ad6:c7ff:fef2:f4fa,8767,8767,https://atlas.ripe.net/api/v2/probes/32770/measurements/?format=json
32966,95.171.58.198,2a02:490:2100:400::514b,20811,20811,https://atlas.ripe.net/api/v2/probes/32966/measurements/?format=json
33408,91.223.228.78,,197659,,https://atlas.ripe.net/api/v2/probes/33408/measurements/?format=json
33467,46.85.210.4,2003:ea:9732:da00:d66e:eff:fe23:5dfa,3320,3320,https://atlas.ripe.net/api/v2/probes/33467/measurements/?format=json
33533,159.213.224.61,,6882,,https://atlas.ripe.net/api/v2/probes/33533/measurements/?format=json
33808,185.68.136.13,2a03:2b20:0:800:ffff:ffff:0:1,202077,202077,https://atlas.ripe.net/api/v2/probes/33808/measurements/?format=json
34009,178.7.139.217,,3209,,https://atlas.ripe.net/api/v2/probes/34009/measurements/?format=json
34040,188.192.218.199,2a02:810d:b40:2700:c225:e9ff:fe99:fe32,31334,31334,https://atlas.ripe.net/api/v2/probes/34040/measurements/?format=json
34171,,,6805,6805,https://atlas.ripe.net/api/v2/probes/34171/measurements/?format=json
34547,,,3320,3320,https://atlas.ripe.net/api/v2/probes/34547/measurements/?format=json
35468,79.212.160.17,2003:d6:73c:ee1f:c225:e9ff:fe9a:1aaa,3320,3320,https://atlas.ripe.net/api/v2/probes/35468/measurements/?format=json
50008,185.150.99.2,2001:678:ed0:108:1:76ff:fed8:6526,212567,212567,https://atlas.ripe.net/api/v2/probes/50008/measurements/?format=json
50542,5.89.157.33,,30722,,https://atlas.ripe.net/api/v2/probes/50542/measurements/?format=json
50606,,,1267,,https://atlas.ripe.net/api/v2/probes/50606/measurements/?format=json
50609,88.198.220.88,,24940,,https://atlas.ripe.net/api/v2/probes/50609/measurements/?format=json
50623,,,31334,,https://atlas.ripe.net/api/v2/probes/50623/measurements/?format=json
50678,185.161.192.41,2a07:c700:10:2:1:93ff:fe58:b161,50178,50178,https://atlas.ripe.net/api/v2/probes/50678/measurements/?format=json
50719,176.10.15.32,,34695,,https://atlas.ripe.net/api/v2/probes/50719/measurements/?format=json
50792,5.90.105.71,,30722,,https://atlas.ripe.net/api/v2/probes/50792/measurements/?format=json
51016,,,30722,,https://atlas.ripe.net/api/v2/probes/51016/measurements/?format=json
51403,,,8881,8881,https://atlas.ripe.net/api/v2/probes/51403/measurements/?format=json
52294,,,12874,,https://atlas.ripe.net/api/v2/probes/52294/measurements/?format=json
52364,93.49.104.232,,12874,,https://atlas.ripe.net/api/v2/probes/52364/measurements/?format=json
52761,178.27.181.34,,3209,,https://atlas.ripe.net/api/v2/probes/52761/measurements/?format=json
52766,,,3320,3320,https://atlas.ripe.net/api/v2/probes/52766/measurements/?format=json
52772,5.90.12.115,,30722,,https://atlas.ripe.net/api/v2/probes/52772/measurements/?format=json
53015,5.90.105.71,,30722,,https://atlas.ripe.net/api/v2/probes/53015/measurements/?format=json
53313,83.137.41.20,,31394,,https://atlas.ripe.net/api/v2/probes/53313/measurements/?format=json
53437,24.134.225.189,2a02:8106:207:3900:1:9bff:fe4f:9464,3209,3209,https://atlas.ripe.net/api/v2/probes/53437/measurements/?format=json
53452,151.34.117.177,,1267,,https://atlas.ripe.net/api/v2/probes/53452/measurements/?format=json
53539,83.137.41.20,,31394,,https://atlas.ripe.net/api/v2/probes/53539/measurements/?format=json
53674,84.152.116.154,2003:f0:1705:8900:1:18ff:fe29:a81c,3320,3320,https://atlas.ripe.net/api/v2/probes/53674/measurements/?format=json
54402,,,3269,,https://atlas.ripe.net/api/v2/probes/54402/measurements/?format=json
54585,24.134.127.69,2a02:8106:20e:4d00:1:1cff:fea7:5f1c,3209,3209,https://atlas.ripe.net/api/v2/probes/54585/measurements/?format=json
54791,151.68.222.90,,1267,,https://atlas.ripe.net/api/v2/probes/54791/measurements/?format=json
55007,95.237.221.164,2001:470:73ef:0:1:e3ff:fe9d:70bd,3269,6939,https://atlas.ripe.net/api/v2/probes/55007/measurements/?format=json
55489,185.220.100.129,2a0b:f4c0:c8:6d:1:5dff:fedf:f19b,205100,205100,https://atlas.ripe.net/api/v2/probes/55489/measurements/?format=json
55585,94.39.201.156,,8612,,https://atlas.ripe.net/api/v2/probes/55585/measurements/?format=json
55602,151.41.212.17,,1267,,https://atlas.ripe.net/api/v2/probes/55602/measurements/?format=json
55648,195.254.232.129,2a02:2e8:6001:ed:1:57ff:fe55:2db4,44512,44512,https://atlas.ripe.net/api/v2/probes/55648/measurements/?format=json
55683,,,3269,,https://atlas.ripe.net/api/v2/probes/55683/measurements/?format=json
1000076,,2a10:200:1:2000:808f:b9ff:fe37:c3d6,,208059,https://atlas.ripe.net/api/v2/probes/1000076/measurements/?format=json
1000097,,,197540,197540,https://atlas.ripe.net/api/v2/probes/1000097/measurements/?format=json
1000108,,,197540,197540,https://atlas.ripe.net/api/v2/probes/1000108/measurements/?format=json
1000183,,,51167,51167,https://atlas.ripe.net/api/v2/probes/1000183/measurements/?format=json
1000275,,,31510,,https://atlas.ripe.net/api/v2/probes/1000275/measurements/?format=json
1000584,195.201.149.19,2a01:4f8:1c1c:1d1e::1,24940,24940,https://atlas.ripe.net/api/v2/probes/1000584/measurements/?format=json
1000661,144.91.67.7,2a02:c207:2022:2769:1::3,51167,51167,https://atlas.ripe.net/api/v2/probes/1000661/measurements/?format=json
1000806,116.203.49.105,fd00:a1a3::2,24940,,https://atlas.ripe.net/api/v2/probes/1000806/measurements/?format=json
